data	gene.peak.targetGO	totalgenetargetGO	gene.peak.notargetgene	totalgenenotargetgene	p1	p2	protestpvalue	fdr
GM12878.ATF3	278	4449	662	12543	6.24859518993032	5.27784421589731	0.0166046855699677	0.0207558569624596
GM12878.BCL11A	563	5359	890	11633	10.5056913603284	7.65064901573111	7.52648320017049e-10	1.88162080004262e-09
GM12878.BCL3	998	6394	1141	10598	15.6083828589302	10.7661822985469	3.76984610947433e-20	2.82738458210574e-19
GM12878.CFOS	628	6978	937	10014	8.99971338492405	9.35690033952467	0.444180038831886	0.464839575521741
GM12878.CMYC	1367	8829	1059	8163	15.4830671650244	12.9731716280779	3.31152315598902e-06	5.73148238536561e-06
GM12878.CTCF	1399	3988	3853	13004	35.0802407221665	29.6293448169794	8.202148380634e-11	2.17115692428547e-10
GM12878.E2F4	1009	5205	1362	11787	19.3852065321806	11.555103079664	7.46711172905105e-42	9.60057222306564e-41
GM12878.EGR1	3326	7766	3479	9226	42.827710533093	37.7086494688923	1.303886632524e-11	3.66718115397376e-11
GM12878.ETS1	922	6949	1663	10043	13.2680961289394	16.5587971721597	4.90737427029368e-09	1.07722849835715e-08
GM12878.GABP	1030	4244	3225	12748	24.2695570216777	25.2980859742705	0.187131129621433	0.207923477357148
GM12878.JUND	49	4726	78	12266	1.03681760473974	0.635904125224197	0.00880837461618324	0.0114891842819781
GM12878.MAX	1596	4074	4128	12918	39.1752577319588	31.9554110543428	2.20809480190398e-17	1.04593964300715e-16
GM12878.MEF2A	850	5408	1521	11584	15.7174556213018	13.130179558011	6.48297604504814e-06	1.10088272463082e-05
GM12878.NFYA	126	1525	1097	15467	8.26229508196721	7.09251955776815	0.102170043683256	0.120990841203856
GM12878.NFYB	525	1987	3612	15005	26.4217413185707	24.0719760079973	0.0234750168393871	0.0285506961560114
GM12878.NRF1	286	787	3620	16205	36.3405336721728	22.3387843258254	1.15236687736555e-19	6.91420126419328e-19
GM12878.NRSF	1324	8910	946	8082	14.8597081930415	11.7050235090324	1.81163746862324e-09	4.07618430440229e-09
GM12878.P300	633	8846	370	8146	7.15577662220213	4.5421065553646	6.50657238537741e-13	2.01928108511713e-12
GM12878.P300	633	8846	370	8146	7.15577662220213	4.5421065553646	6.50657238537741e-13	2.01928108511713e-12
GM12878.PU1	1858	5600	2968	11392	33.1785714285714	26.0533707865169	4.3099429316099e-22	3.87894863844891e-21
GM12878.RAD21	965	3502	2888	13490	27.5556824671616	21.4084507042254	1.18036886500385e-14	4.61883468914549e-14
GM12878.RXRA	315	7405	365	9587	4.25388251181634	3.80723896943778	0.151728196812546	0.172854907761128
GM12878.SIX5	249	2116	2926	14876	11.7674858223062	19.6692659317021	3.45987453857433e-18	1.83169828512759e-17
GM12878.SP1	2406	5887	3868	11105	40.8697129267878	34.831157136425	9.59122694845045e-15	3.98510841817973e-14
GM12878.SRF	1793	8750	1693	8242	20.4914285714286	20.5411307934967	0.951216872592909	0.972835437879111
GM12878.TAF1	3765	7648	3348	9344	49.2285564853557	35.8304794520548	2.60093432114482e-69	5.85210222257584e-68
GM12878.TBP	1566	3542	3726	13450	44.2123094297007	27.7026022304833	2.56950288497599e-79	7.70850865492798e-78
GM12878.TCF12	660	2134	4151	14858	30.9278350515464	27.9378112801185	0.00449406070045563	0.0061282645915304
GM12878.USF1	1024	4401	2555	12591	23.2674392183595	20.292272257962	3.39429294945224e-05	5.45511366876253e-05
GM12878.USF2	469	2165	2567	14827	21.662817551963	17.3130100492345	9.32827353079673e-07	1.67908923554341e-06
GM12878.YY1SC281	2715	5515	5192	11477	49.2293744333636	45.2383026923412	1.13266651351409e-06	1.99882325914251e-06
GM12878.ZBTB33	32	574	1182	16418	5.57491289198606	7.19941527591668	0.160646253853293	0.180727035584954
H1HESC.ATF3	563	4449	1524	12543	12.6545291076646	12.1502033006458	0.393140220562665	0.416266115889881
H1HESC.BCL11A	80	5359	65	11633	1.49281582384773	0.558755265193845	1.35133632683111e-09	3.20053340565263e-09
H1HESC.CEBPB	895	7088	1054	9904	12.6269751693002	10.6421647819063	6.91921866957698e-05	0.000107367186252057
H1HESC.CJUN	315	9724	192	7268	3.23940765117236	2.64171711612548	0.0264176919873212	0.0317012303847855
H1HESC.CMYC	112	8829	72	8163	1.26854683429607	0.882028665931643	0.0183708924394384	0.0226490454732802
H1HESC.CTCF	1274	3988	3777	13004	31.9458375125376	29.0449092586896	0.000489135422687856	0.0007100352909985
H1HESC.EGR1	2019	7766	2053	9226	25.9979397373165	22.2523303706915	1.34801792934195e-08	2.82143287536687e-08
H1HESC.GABP	634	4244	1987	12748	14.9387370405278	15.5867587072482	0.323227676257823	0.346315367419096
H1HESC.JUND	715	4726	1538	12266	15.1290732120186	12.5387249307028	9.16093084188424e-06	1.49906141049015e-05
H1HESC.MAX	970	4074	2497	12918	23.8095238095238	19.3296175878619	7.07817905166997e-10	1.82010318471514e-09
H1HESC.NRF1	216	787	2817	16205	27.4459974587039	17.383523603826	8.59004276740893e-13	2.57701283022268e-12
H1HESC.NRSF	1170	8910	832	8082	13.1313131313131	10.2944815639693	1.1674215154158e-08	2.50161753303385e-08
H1HESC.P300	1649	8846	1098	8146	18.6411937598915	13.479008102136	8.19124684799489e-20	5.26580154513957e-19
H1HESC.P300	1649	8846	1098	8146	18.6411937598915	13.479008102136	8.19124684799489e-20	5.26580154513957e-19
H1HESC.RAD21	1361	3502	4618	13490	38.8635065676756	34.2327650111193	3.52307569597395e-07	6.74631516250331e-07
H1HESC.RXRA	171	7405	139	9587	2.30925050641458	1.44988004589548	4.26357392019196e-05	6.73195882135572e-05
H1HESC.SIN3AK20	2244	7910	2145	9082	28.3691529709229	23.6181457828672	1.91969649039563e-12	5.57331239147118e-12
H1HESC.SIX5	152	2116	1603	14876	7.18336483931947	10.7757461683248	4.59597675381631e-07	8.44158995598914e-07
H1HESC.SP1	1952	5887	3049	11105	33.1578053337863	27.4561008554705	9.74137613332824e-15	3.98510841817973e-14
H1HESC.SRF	815	8750	765	8242	9.31428571428571	9.28172773598641	0.962824700312882	0.973642955372577
H1HESC.TAF1	4830	7648	4522	9344	63.1537656903766	48.3946917808219	2.27381731277268e-82	2.04643558149542e-80
H1HESC.TBP	2118	3542	6044	13450	59.7967250141163	44.9368029739777	9.44641506337763e-56	1.70035471140797e-54
H1HESC.TCF12	249	2134	1221	14858	11.668228678538	8.2177951272042	1.43399769151777e-07	2.86799538303555e-07
H1HESC.USF1	1280	4401	3384	12591	29.0842990229493	26.8763402430307	0.00501813334130922	0.00674077613011687
