Category	Geneset.ID	Description	Number.of.Genes	enrich.status	enrich.fdr	enrich.pvalue	promoter.status	promoter.fdr	promoter.pvalue	enhancer.status	enhancer.fdr	enhancer.pvalue
Gene Ontology Biological Process	GO:0007268	chemical synaptic transmission	423	enriched	4.96857850231681e-41	2.65572127586185e-44	depleted	0.45525904466126	0.136745445061139	closer	0.0038374249010457	0.00012781593157639
Gene Ontology Biological Process	GO:0098916	anterograde trans-synaptic signaling	423	enriched	4.96857850231681e-41	2.65572127586185e-44	depleted	0.45525904466126	0.136745445061139	closer	0.0038374249010457	0.00012781593157639
Gene Ontology Biological Process	GO:0099536	synaptic signaling	424	enriched	4.96857850231681e-41	3.85235782307952e-44	depleted	0.444202313934156	0.122670582873289	closer	0.0038374249010457	0.000128932706910255
Gene Ontology Biological Process	GO:0099537	trans-synaptic signaling	424	enriched	4.96857850231681e-41	3.85235782307952e-44	depleted	0.444202313934156	0.122670582873289	closer	0.0038374249010457	0.000128932706910255
Gene Ontology Biological Process	GO:0007267	cell-cell signaling	758	enriched	2.46378947914342e-26	2.38785566887325e-29	depleted	0.0363619671132945	0.0015723712752113	closer	0.0018839956654836	5.45184218599837e-05
Gene Ontology Biological Process	GO:0050804	modulation of synaptic transmission	220	enriched	5.20077234250327e-23	6.04858190638101e-26	depleted	0.316969503949122	0.050919124669664	closer	0.0432333556971703	0.0032326358406313
Gene Ontology Biological Process	GO:0030182	neuron differentiation	687	enriched	1.55936632268121e-17	2.11582947446568e-20	depleted	0.0974727340750932	0.00657756669733032	closer	5.07197851738011e-06	3.54614928385481e-08
Gene Ontology Biological Process	GO:0006812	cation transport	493	enriched	7.59850727205623e-17	1.17829149401919e-19	depleted	0.234213755361447	0.0292483340028644	closer	0.0112869420898248	0.000469969334459848
Gene Ontology Biological Process	GO:0048699	generation of neurons	719	enriched	9.51251349766067e-17	1.65948093581985e-19	depleted	0.112418657823783	0.00834910722251484	closer	1.06961776574599e-05	1.03866553286657e-07
Gene Ontology Biological Process	GO:0048666	neuron development	572	enriched	4.03094459805178e-16	7.81342236489974e-19	depleted	0.335599266383006	0.0573460397472457	closer	1.67871051058436e-05	1.92355642113958e-07
Gene Ontology Biological Process	GO:0006836	neurotransmitter transport	142	enriched	4.31679675688456e-16	9.2042574773658e-19	depleted	0.977802998095181	0.924216218200765	closer	0.212659620067262	0.040999170402092
Gene Ontology Biological Process	GO:0098655	cation transmembrane transport	379	enriched	5.46170206383717e-16	1.27040947404625e-18	depleted	0.337364998126077	0.059596570349594	closer	0.0119342353171974	0.000507593228678622
Gene Ontology Biological Process	GO:0022008	neurogenesis	751	enriched	9.61828843724373e-16	2.42368190897787e-18	depleted	0.14343067964346	0.0122376379761727	closer	1.29996994763951e-05	1.28759889939046e-07
Gene Ontology Biological Process	GO:0048167	regulation of synaptic plasticity	125	enriched	1.01619109007075e-15	2.75764203547015e-18	depleted	0.665581243295455	0.350297636571913	closer	0.303538681448891	0.0788657080542258
Gene Ontology Biological Process	GO:0030001	metal ion transport	402	enriched	3.89039779780356e-15	1.13114880726989e-17	depleted	0.291145160849797	0.0439022064078091	closer	0.0615284928787606	0.00537732021663279
Gene Ontology Biological Process	GO:0034220	ion transmembrane transport	479	enriched	2.2371043821833e-14	6.9381023676939e-17	depleted	0.339689346063448	0.0601583342771297	closer	0.0271006699788807	0.0015295869631336
Gene Ontology Biological Process	GO:0099531	presynaptic process involved in chemical synaptic transmission	126	enriched	3.0760368785534e-14	1.01361944050025e-16	enriched	0.850007865392222	0.629751222883244	closer	0.496430583726559	0.210956297720765
Gene Ontology Biological Process	GO:0042391	regulation of membrane potential	256	enriched	5.15194645304945e-14	1.79753898342489e-16	depleted	0.944833134029869	0.807058961790104	closer	0.141127728353955	0.0208889636917152
Gene Ontology Biological Process	GO:0031175	neuron projection development	480	enriched	6.5321263013617e-14	2.40570652696011e-16	depleted	0.396011636159162	0.0870401070951778	closer	0.000238190628467575	4.62595899140755e-06
Gene Ontology Biological Process	GO:0023061	signal release	259	enriched	1.29101544701762e-13	5.00490578413499e-16	enriched	0.982235074309858	0.940522939100655	closer	0.394637926930264	0.133819735952659
Gene Ontology Biological Process	GO:0007612	learning	119	enriched	3.11110529722867e-13	1.26639292967246e-15	depleted	0.416732152538833	0.100851262444832	closer	0.0227357105401865	0.0012098156705964
Gene Ontology Biological Process	GO:0098662	inorganic cation transmembrane transport	334	enriched	3.61143986317262e-13	1.54005964314398e-15	depleted	0.40146028982757	0.0911558924230141	closer	0.0377728199427767	0.0025382395999613
Gene Ontology Biological Process	GO:0001505	regulation of neurotransmitter levels	135	enriched	4.40855561437185e-13	1.96543475732802e-15	depleted	0.962964672137122	0.861197026933567	closer	0.421398915878142	0.152756083279443
Gene Ontology Biological Process	GO:0006811	ion transport	652	enriched	1.51262179957091e-12	7.03681395419689e-15	depleted	0.200239447172885	0.0206568520255914	closer	0.0192421882275389	0.000931015867650388
Gene Ontology Biological Process	GO:0007269	neurotransmitter secretion	115	enriched	2.43212794694987e-12	1.22572837024029e-14	enriched	0.738910195531443	0.444750290271398	closer	0.447761572811721	0.169921560161993
Gene Ontology Biological Process	GO:0099643	signal release from synapse	115	enriched	2.43212794694987e-12	1.22572837024029e-14	enriched	0.738910195531443	0.444750290271398	closer	0.447761572811721	0.169921560161993
Gene Ontology Biological Process	GO:0043269	regulation of ion transport	324	enriched	2.65499751055027e-12	1.38951216873148e-14	depleted	0.493531098152418	0.163634175300703	closer	0.0440418788955374	0.0033358579858729
Gene Ontology Biological Process	GO:0044708	single-organism behavior	282	enriched	3.61059554921065e-12	1.98344647514465e-14	depleted	0.54184286279176	0.203278242389216	closer	0.00288161360459939	9.01028918897849e-05
Gene Ontology Biological Process	GO:0098660	inorganic ion transmembrane transport	372	enriched	3.61059554921065e-12	2.02960401099261e-14	depleted	0.376704528764627	0.0768519110328545	closer	0.026953120157654	0.00151280864741931
Gene Ontology Biological Process	GO:0050890	cognition	200	enriched	6.22121718102879e-12	3.61768783544996e-14	depleted	0.192517141565061	0.0193375759803571	closer	0.00208605443040006	6.15809425948357e-05
Gene Ontology Biological Process	GO:0055085	transmembrane transport	586	enriched	1.20430119912963e-11	7.23654529424664e-14	depleted	0.745145252162168	0.453560392968207	closer	0.231835160999956	0.0484472000846675
Gene Ontology Biological Process	GO:0007611	learning or memory	178	enriched	1.23571371492747e-11	7.66482629922058e-14	depleted	0.245581300296252	0.0321146996865435	closer	0.00123643523325079	3.12170480331331e-05
Gene Ontology Biological Process	GO:0034765	regulation of ion transmembrane transport	240	enriched	1.99977880197418e-11	1.27917620595363e-13	depleted	0.444202313934156	0.12030516428238	closer	0.00764024716862751	0.000292314758636555
Gene Ontology Biological Process	GO:0099504	synaptic vesicle cycle	85	enriched	3.69067769529707e-11	2.43231327079086e-13	enriched	0.815986620734877	0.564086155307317	closer	0.577675016655048	0.282270028806809
Gene Ontology Biological Process	GO:0007610	behavior	341	enriched	5.43618030993079e-11	3.68804634323663e-13	depleted	0.583730445622092	0.244641253724273	closer	0.00123044918535855	3.08269459916981e-05
Gene Ontology Biological Process	GO:0034762	regulation of transmembrane transport	245	enriched	7.55435772032691e-11	5.27150373971252e-13	depleted	0.570176522636702	0.230635684743099	closer	0.017288637135078	0.000792409858978134
Gene Ontology Biological Process	GO:0060078	regulation of postsynaptic membrane potential	112	enriched	1.08628049037889e-10	7.79073040201953e-13	enriched	0.994416342982348	0.982948636503071	closer	0.479848530353287	0.19225626687101
Gene Ontology Biological Process	GO:0017156	calcium ion regulated exocytosis	73	enriched	3.60331732550181e-10	2.65412014671581e-12	enriched	0.54184286279176	0.203199604019165	farther	0.546802468319621	0.257418757662995
Gene Ontology Biological Process	GO:0048812	neuron projection morphogenesis	368	enriched	3.91861660424129e-10	2.96231920072515e-12	depleted	0.437142568818669	0.110339957352123	closer	0.000143301365626197	2.50478207542391e-06
Gene Ontology Biological Process	GO:0061564	axon development	319	enriched	4.07688315499178e-10	3.16098713315897e-12	depleted	0.0489965919534057	0.00238474783407113	closer	9.50652746171867e-06	8.27390125220353e-08
Gene Ontology Biological Process	GO:0006813	potassium ion transport	136	enriched	4.23073229747746e-10	3.36227998055003e-12	depleted	0.556062083107999	0.217809852216048	closer	0.323127769716751	0.0897456914971254
Gene Ontology Biological Process	GO:0048858	cell projection morphogenesis	380	enriched	4.66371854570457e-10	3.84610500926283e-12	depleted	0.517860194186856	0.185373263228415	closer	0.000661212621703463	1.50246410447281e-05
Gene Ontology Biological Process	GO:0048667	cell morphogenesis involved in neuron differentiation	346	enriched	4.66371854570457e-10	3.88718545193442e-12	depleted	0.232408124332806	0.0288456492743856	closer	0.000311738779491333	6.47816069247865e-06
Gene Ontology Biological Process	GO:0007215	glutamate receptor signaling pathway	85	enriched	5.98308557253423e-10	5.10284483798229e-12	depleted	0.947144531292056	0.813438652141267	closer	0.431855522249823	0.159607896453955
Gene Ontology Biological Process	GO:0032990	cell part morphogenesis	390	enriched	8.60761532915774e-10	7.80323503234769e-12	depleted	0.645134348946656	0.319972492967838	closer	0.00156677954636835	4.22960491251117e-05
Gene Ontology Biological Process	GO:0071804	cellular potassium ion transport	112	enriched	8.60761532915774e-10	7.84178950320631e-12	depleted	0.621022049268097	0.287777783235967	closer	0.231617598647711	0.048356752485199
Gene Ontology Biological Process	GO:0071805	potassium ion transmembrane transport	112	enriched	8.60761532915774e-10	7.84178950320631e-12	depleted	0.621022049268097	0.287777783235967	closer	0.231617598647711	0.048356752485199
Gene Ontology Biological Process	GO:0051049	regulation of transport	785	enriched	9.36478406150848e-10	8.71311562226026e-12	depleted	0.75972242050847	0.477776707280209	closer	0.803295066244026	0.579554267598469
